ind,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,2011/3/15,1,0,3,16,0,2,1,2,0.38,0.3939,0.46,0.3284,21,93,114
2,2011/5/31,2,0,5,23,0,2,1,1,0.72,0.697,0.79,0.0896,15,46,61
3,2012/7/31,3,1,7,20,0,2,1,3,0.7,0.6515,0.7,0.194,55,397,452
4,2011/1/8,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,1,33,34
5,2012/4/6,2,1,4,17,0,5,1,1,0.52,0.5,0.23,0.4179,172,483,655
6,2012/12/25,1,1,12,15,1,2,0,1,0.36,0.3333,0.5,0.2537,51,56,107
7,2011/3/14,1,0,3,12,0,1,1,1,0.38,0.3939,0.37,0,40,54,94
8,2012/3/17,1,1,3,19,0,6,0,1,0.58,0.5455,0.64,0.2836,155,262,417
9,2011/9/28,4,0,9,6,0,3,1,3,0.6,0.5152,0.94,0.1642,3,111,114
10,2012/10/28,4,1,10,22,0,0,0,3,0.44,0.4394,0.88,0.3582,2,35,37
11,2011/10/6,4,0,10,23,0,4,1,1,0.44,0.4394,0.88,0.0896,18,81,99
12,2012/9/1,3,1,9,23,0,6,0,1,0.66,0.5909,0.89,0.0896,57,88,145
13,2011/2/16,1,0,2,16,0,3,1,1,0.46,0.4545,0.31,0.3881,26,96,122
14,2011/5/2,2,0,5,5,0,1,1,2,0.44,0.4394,0.77,0.1343,4,16,20
15,2011/2/14,1,0,2,23,0,1,1,1,0.32,0.2879,0.49,0.4925,1,19,20
16,2012/3/25,2,1,3,14,0,0,0,2,0.44,0.4394,0.88,0.1642,123,291,414
17,2012/11/21,4,1,11,21,0,3,1,1,0.36,0.3788,0.5,0,8,97,105
18,2011/11/6,4,0,11,15,0,0,0,1,0.48,0.4697,0.51,0.194,96,210,306
19,2011/11/21,4,0,11,1,0,1,1,3,0.46,0.4545,0.94,0.194,4,8,12
20,2011/12/27,1,0,12,8,0,2,1,2,0.3,0.303,0.65,0.1642,9,155,164
21,2012/9/30,4,1,9,9,0,0,0,1,0.52,0.5,0.63,0.1045,74,211,285
22,2011/10/28,4,0,10,11,0,5,1,1,0.36,0.3485,0.5,0.2239,40,128,168
23,2011/8/3,3,0,8,8,0,3,1,2,0.74,0.6667,0.51,0.1642,29,408,437
24,2011/9/19,3,0,9,1,0,1,1,2,0.52,0.5,0.72,0.1045,3,7,10
25,2011/10/2,4,0,10,3,0,0,0,3,0.34,0.3182,0.87,0.2836,4,5,9
26,2011/1/13,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,5,55,60
27,2011/4/27,2,0,4,10,0,3,1,2,0.62,0.5758,0.83,0.2836,26,66,92
